city,cityId,year,city_value,town_value
北京市,BEJ,2019,185,97
北京市,BEJ,2018,180,94
北京市,BEJ,2017,176,91
北京市,BEJ,2016,172,88
北京市,BEJ,2015,170,86
北京市,BEJ,2014,164,81
北京市,BEJ,2013,159,81
北京市,BEJ,2012,155,78
北京市,BEJ,2011,146,77
北京市,BEJ,2010,139,74
天津市,TAJ,2019,95,84
天津市,TAJ,2018,96,81
天津市,TAJ,2017,95,77
天津市,TAJ,2016,91,84
天津市,TAJ,2015,95,55
天津市,TAJ,2014,90,55
天津市,TAJ,2013,87,53
天津市,TAJ,2012,82,54
天津市,TAJ,2011,78,53
天津市,TAJ,2010,75,54
河北省,HEB,2019,84,50
河北省,HEB,2018,92,45
河北省,HEB,2017,95,40
河北省,HEB,2016,98,36
河北省,HEB,2015,104,34
河北省,HEB,2014,110,32
河北省,HEB,2013,103,32
河北省,HEB,2012,97,31
河北省,HEB,2011,94,30
河北省,HEB,2010,92,29
山西省,SHX,2019,144,45
山西省,SHX,2018,138,43
山西省,SHX,2017,130,41
山西省,SHX,2016,126,40
山西省,SHX,2015,118,39
山西省,SHX,2014,113,39
山西省,SHX,2013,109,38
山西省,SHX,2012,106,38
山西省,SHX,2011,100,37
山西省,SHX,2010,101,38
内蒙古自治区,NMG,2019,144,56
内蒙古自治区,NMG,2018,139,53
内蒙古自治区,NMG,2017,130,51
内蒙古自治区,NMG,2016,127,48
内蒙古自治区,NMG,2015,119,46
内蒙古自治区,NMG,2014,112,44
内蒙古自治区,NMG,2013,117,41
内蒙古自治区,NMG,2012,109,39
内蒙古自治区,NMG,2011,93,39
内蒙古自治区,NMG,2010,97,36
辽宁省,LIA,2019,111,40
辽宁省,LIA,2018,109,40
辽宁省,LIA,2017,115,34
辽宁省,LIA,2016,103,35
辽宁省,LIA,2015,95,35
辽宁省,LIA,2014,92,34
辽宁省,LIA,2013,76,41
辽宁省,LIA,2012,87,34
辽宁省,LIA,2011,84,33
辽宁省,LIA,2010,83,32
吉林省,JIL,2019,114,53
吉林省,JIL,2018,111,52
吉林省,JIL,2017,83,50
吉林省,JIL,2016,98,47
吉林省,JIL,2015,93,45
吉林省,JIL,2014,84,44
吉林省,JIL,2013,131,37
吉林省,JIL,2012,74,44
吉林省,JIL,2011,71,42
吉林省,JIL,2010,72,41
黑龙江省,HLJ,2019,108,45
黑龙江省,HLJ,2018,104,43
黑龙江省,HLJ,2017,102,42
黑龙江省,HLJ,2016,96,41
黑龙江省,HLJ,2015,93,39
黑龙江省,HLJ,2014,90,38
黑龙江省,HLJ,2013,86,37
黑龙江省,HLJ,2012,83,36
黑龙江省,HLJ,2011,82,34
黑龙江省,HLJ,2010,79,34
上海市,SHH,2019,145,77
上海市,SHH,2018,136,74
上海市,SHH,2017,131,77
上海市,SHH,2016,125,76
上海市,SHH,2015,120,77
上海市,SHH,2014,116,76
上海市,SHH,2013,111,77
上海市,SHH,2012,105,76
上海市,SHH,2011,100,77
上海市,SHH,2010,98,77
江苏省,JSU,2019,103,62
江苏省,JSU,2018,101,57
江苏省,JSU,2017,101,50
江苏省,JSU,2016,98,47
江苏省,JSU,2015,100,43
江苏省,JSU,2014,90,43
江苏省,JSU,2013,89,39
江苏省,JSU,2012,79,39
江苏省,JSU,2011,65,36
江苏省,JSU,2010,66,33
浙江省,ZHJ,2019,132,79
浙江省,ZHJ,2018,129,74
浙江省,ZHJ,2017,130,69
浙江省,ZHJ,2016,122,67
浙江省,ZHJ,2015,126,61
浙江省,ZHJ,2014,116,58
浙江省,ZHJ,2013,103,57
浙江省,ZHJ,2012,101,53
浙江省,ZHJ,2011,96,50
浙江省,ZHJ,2010,88,48
安徽省,ANH,2019,83,36
安徽省,ANH,2018,77,34
安徽省,ANH,2017,73,32
安徽省,ANH,2016,69,30
安徽省,ANH,2015,69,29
安徽省,ANH,2014,66,28
安徽省,ANH,2013,63,26
安徽省,ANH,2012,55,25
安徽省,ANH,2011,55,23
安徽省,ANH,2010,53,22
福建省,FUJ,2019,108,46
福建省,FUJ,2018,107,43
福建省,FUJ,2017,101,41
福建省,FUJ,2016,99,40
福建省,FUJ,2015,98,40
福建省,FUJ,2014,103,38
福建省,FUJ,2013,102,37
福建省,FUJ,2012,95,33
福建省,FUJ,2011,87,30
福建省,FUJ,2010,77,28
江西省,JXI,2019,89,40
江西省,JXI,2018,89,36
江西省,JXI,2017,107,33
江西省,JXI,2016,97,32
江西省,JXI,2015,93,31
江西省,JXI,2014,89,30
江西省,JXI,2013,81,29
江西省,JXI,2012,76,28
江西省,JXI,2011,70,27
江西省,JXI,2010,68,25
山东省,SHD,2019,111,56
山东省,SHD,2018,109,53
山东省,SHD,2017,111,48
山东省,SHD,2016,102,47
山东省,SHD,2015,98,47
山东省,SHD,2014,93,48
山东省,SHD,2013,91,50
山东省,SHD,2012,76,47
山东省,SHD,2011,69,42
山东省,SHD,2010,66,40
河南省,HEN,2019,127,40
河南省,HEN,2018,123,38
河南省,HEN,2017,118,35
河南省,HEN,2016,110,34
河南省,HEN,2015,104,33
河南省,HEN,2014,99,32
河南省,HEN,2013,93,31
河南省,HEN,2012,87,28
河南省,HEN,2011,77,27
河南省,HEN,2010,77,25
湖北省,HUB,2019,102,50
湖北省,HUB,2018,103,49
湖北省,HUB,2017,101,48
湖北省,HUB,2016,99,46
湖北省,HUB,2015,97,44
湖北省,HUB,2014,86,42
湖北省,HUB,2013,79,38
湖北省,HUB,2012,79,33
湖北省,HUB,2011,69,32
湖北省,HUB,2010,65,31
湖南省,HUN,2019,130,53
湖南省,HUN,2018,123,44
湖南省,HUN,2017,121,41
湖南省,HUN,2016,115,39
湖南省,HUN,2015,110,38
湖南省,HUN,2014,104,35
湖南省,HUN,2013,94,34
湖南省,HUN,2012,86,31
湖南省,HUN,2011,81,30
湖南省,HUN,2010,82,28
广东省,GUD,2019,113,44
广东省,GUD,2018,115,42
广东省,GUD,2017,114,39
广东省,GUD,2016,115,36
广东省,GUD,2015,113,34
广东省,GUD,2014,113,33
广东省,GUD,2013,118,30
广东省,GUD,2012,104,31
广东省,GUD,2011,98,30
广东省,GUD,2010,92,29
广西壮族自治区,GXI,2019,94,43
广西壮族自治区,GXI,2018,91,41
广西壮族自治区,GXI,2017,91,39
广西壮族自治区,GXI,2016,86,39
广西壮族自治区,GXI,2015,86,36
广西壮族自治区,GXI,2014,79,36
广西壮族自治区,GXI,2013,76,33
广西壮族自治区,GXI,2012,69,31
广西壮族自治区,GXI,2011,64,29
广西壮族自治区,GXI,2010,60,27
海南省,HAI,2019,146,45
海南省,HAI,2018,141,42
海南省,HAI,2017,136,41
海南省,HAI,2016,130,40
海南省,HAI,2015,124,39
海南省,HAI,2014,98,41
海南省,HAI,2013,98,38
海南省,HAI,2012,92,37
海南省,HAI,2011,88,35
海南省,HAI,2010,78,33
重庆市,CHQ,2019,93,36
重庆市,CHQ,2018,79,44
重庆市,CHQ,2017,79,37
重庆市,CHQ,2016,71,36
重庆市,CHQ,2015,66,34
重庆市,CHQ,2014,61,32
重庆市,CHQ,2013,48,35
重庆市,CHQ,2012,44,34
重庆市,CHQ,2011,43,30
重庆市,CHQ,2010,39,29
四川省,SCH,2019,95,50
四川省,SCH,2018,91,47
四川省,SCH,2017,85,45
四川省,SCH,2016,82,42
四川省,SCH,2015,85,39
四川省,SCH,2014,80,38
四川省,SCH,2013,77,36
四川省,SCH,2012,70,33
四川省,SCH,2011,62,30
四川省,SCH,2010,58,28
贵州省,GUI,2019,94,46
贵州省,GUI,2018,97,43
贵州省,GUI,2017,156,36
贵州省,GUI,2016,131,34
贵州省,GUI,2015,121,32
贵州省,GUI,2014,110,30
贵州省,GUI,2013,74,29
贵州省,GUI,2012,79,23
贵州省,GUI,2011,73,20
贵州省,GUI,2010,75,18
云南省,YUN,2019,138,56
云南省,YUN,2018,130,50
云南省,YUN,2017,146,46
云南省,YUN,2016,133,40
云南省,YUN,2015,122,38
云南省,YUN,2014,110,35
云南省,YUN,2013,100,33
云南省,YUN,2012,90,28
云南省,YUN,2011,81,26
云南省,YUN,2010,78,24
