city,id,year,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,3-6,4-1,4-2,4-3,4-4
北京市,BEJ,2019,240,162,211,9416,10.59,9.92,11.49,1.75,2.18,177,44,64,23,23,9,1682.5,1376.5,306.1,400.1
北京市,BEJ,2018,248,159,193,9172,9.98,9.36,10.74,1.71,2.1,167,45,67,23,23,7,1628.9,1332,296.9,389.2
北京市,BEJ,2017,259,161,185,9090,9.44,8.89,10.35,1.74,2.02,165,43,70,22,21,6,1569.2,1282.9,286.2,202.2
北京市,BEJ,2016,272,154,169,8908,8.94,8.43,9.81,1.62,1.77,159,44,72,24,18,7,1517.6,1239.9,277.8,191.2
北京市,BEJ,2015,295,149,158,8912,8.52,8.04,9.46,1.51,1.68,162,42,67,26,18,7,1475.7,1206.1,269.5,181
北京市,BEJ,2014,296,144,144,8802,7.99,7.53,8.85,1.35,1.55,162,36,73,26,18,7,1431.3,1171.2,260.1,173
北京市,BEJ,2013,302,134,139,8857,7.71,7.25,8.39,1.32,1.47,157,38,71,26,16,8,1354.8,1105,249.8,160.1
北京市,BEJ,2012,301,123,132,8837,7.44,6.98,7.95,1.34,1.39,153,34,75,26,20,7,1279.7,1040.6,239.1,151.9
北京市,BEJ,2011,313,104,120,8718,6.97,6.54,7.28,1.25,1.5,152,27,80,30,18,5,1188,955.2,232.8,159.8
北京市,BEJ,2010,321,90,122,8651,6.62,6.18,6.73,1.17,1.46,149,28,79,33,16,5,1063.7,848.5,215.1,150
天津市,TAJ,2019,284,55,98,5348,4.64,4.34,4.14,0.66,1.01,62,1,19,15,26,1,595,383,212.1,541.9
天津市,TAJ,2018,270,55,92,5101,4.31,4.05,3.94,0.56,0.96,60,1,17,13,29,2,575.3,367.8,207.5,541.5
天津市,TAJ,2017,284,51,88,4960,4.11,3.86,3.82,0.51,1,55,1,18,10,35,2,554.1,353.1,201,534.3
天津市,TAJ,2016,278,53,87,4844,3.78,3.54,3.61,0.47,0.95,50,1,17,12,33,2,535.7,340.3,195.4,531.1
天津市,TAJ,2015,272,48,79,4618,3.59,3.35,3.38,0.45,0.95,50,1,17,13,34,1,522,331.6,190.4,532.1
天津市,TAJ,2014,254,40,75,4419,3.33,3.1,3.16,0.41,0.93,46,1,15,12,34,2,509.6,326,183.6,514
天津市,TAJ,2013,220,37,70,4209,3.21,2.97,2.97,0.39,0.91,40,1,15,14,37,2,493.1,315.8,177.3,508.4
天津市,TAJ,2012,201,31,66,4095,3.07,2.82,2.76,0.5,0.94,33,1,13,14,36,1,479.1,310.2,168.9,502.2
天津市,TAJ,2011,195,30,65,3981,2.98,2.74,2.58,0.49,0.96,33,1,13,11,37,1,474.5,312,162.5,498.3
天津市,TAJ,2010,183,28,62,4115,2.89,2.65,2.42,0.51,0.94,31,1,14,14,40,1,470,312.5,157.5,493
河北省,HEB,2019,1456,249,372,81790,22.86,17.35,18.5,3.06,2.3,86,25,135,52,40,5,1079.2,741.9,337.3,5858.5
河北省,HEB,2018,1470,243,352,82236,21.14,16.47,17.29,3.01,2.22,84,23,128,47,42,4,1030.2,705.6,324.7,5884.1
河北省,HEB,2017,1265,218,322,78207,19.19,14.99,15.84,2.73,2.1,59,30,104,56,34,4,986.9,674.5,312.4,5896.2
河北省,HEB,2016,1086,201,295,76003,17.71,13.77,14.34,2.56,1.92,57,30,102,60,29,2,973.7,667.5,306.2,5698.4
河北省,HEB,2015,1041,193,275,75562,16.69,12.88,13.28,2.42,1.89,57,32,106,57,25,2,957,656.8,300.3,706.7
河北省,HEB,2014,894,179,237,75623,15.77,12.1,12.18,2.38,1.93,57,33,99,55,29,1,944.5,658.2,286.3,753.1
河北省,HEB,2013,826,177,231,75178,15.01,11.46,11.15,2.35,1.84,62,30,98,41,26,1,926.3,650.7,275.6,748.2
河北省,HEB,2012,809,175,230,77177,14.3,10.88,10.2,1.98,1.48,57,34,93,42,28,2,906.8,645.3,261.5,737.6
河北省,HEB,2011,824,179,209,78246,13.68,10.36,9.35,1.89,1.48,53,25,87,39,27,3,875.5,627.3,248.2,686.6
河北省,HEB,2010,812,178,204,79493,13.4,10.14,8.74,1.8,1.53,56,19,88,42,28,1,848,610,238,680
山西省,SHX,2019,665,218,482,40249,10.57,8.93,10.9,1.33,1.52,105,16,60,25,22,2,702,482.3,219.7,2564.3
山西省,SHX,2018,654,213,469,40198,9.95,8.58,10.39,1.35,1.41,108,14,63,24,17,1,686.6,479.4,207.2,2580.3
山西省,SHX,2017,684,213,464,40581,9.43,8.15,9.68,1.22,1.4,108,15,62,27,14,1,664.1,474.9,189.2,2551.3
山西省,SHX,2016,693,210,463,40288,9.17,7.91,9.21,1.13,1.37,107,17,66,27,13,1,660.2,474.8,185.4,461
山西省,SHX,2015,654,194,407,39196,9.02,7.73,8.33,1.12,1.16,95,15,67,29,11,2,650.5,471.1,179.4,463.3
山西省,SHX,2014,638,188,394,39010,8.98,7.67,7.91,1.1,1.13,84,18,64,29,12,2,657.3,481.8,175.5,443.9
山西省,SHX,2013,637,191,377,38529,8.82,7.48,7.48,1.1,1.11,76,19,63,26,14,5,646.5,479.6,166.9,439.7
山西省,SHX,2012,638,193,369,38443,8.73,7.35,7.03,1.09,1.07,61,14,70,33,19,4,621.1,463.8,157.2,434.9
山西省,SHX,2011,632,199,362,38587,8.48,7.04,6.48,0.99,1.11,62,9,63,36,21,3,595.8,444.9,150.8,409.3
山西省,SHX,2010,632,204,348,39351,8.8,7.2,6.26,1.04,1.13,60,10,54,33,30,3,562,422,140,400
内蒙古自治区,NMG,2019,397,122,161,23238,7.81,6.62,8.04,1.12,1.19,151,32,79,35,36,1,530.7,360.2,170.5,1647.7
内蒙古自治区,NMG,2018,424,117,159,23235,7.36,6.33,7.64,1.03,1.14,153,29,77,32,35,3,505.3,351.7,153.6,1659
内蒙古自治区,NMG,2017,422,113,145,22868,7.03,6.05,7.19,0.99,1.11,140,36,81,26,33,3,495.1,346.6,148.4,1666.4
内蒙古自治区,NMG,2016,402,110,134,22606,6.64,5.7,6.64,0.92,1.02,145,33,83,33,19,1,488.8,342.7,146.1,531
内蒙古自治区,NMG,2015,409,95,126,22421,6.42,5.49,6.12,0.88,1,149,31,85,29,13,1,477.4,336.1,141.4,530.6
内蒙古自治区,NMG,2014,379,79,111,22053,6.22,5.26,5.67,0.85,0.95,107,44,106,23,11,1,470.7,332.1,138.6,527.4
内蒙古自治区,NMG,2013,353,68,85,21984,6.21,5.25,5.24,0.8,0.87,96,43,105,20,10,2,464.5,330,134.5,521.7
