city,id,year,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,3-6,4-1,4-2,4-3,4-4
北京,BEJ,2019,26,12,17,25,15,12,18,12,11,6,3,13,24,20,12,6,5,12,29
北京,BEJ,2018,26,12,18,25,13,12,18,10,11,6,2,11,21,19,14,6,5,12,29
北京,BEJ,2017,26,8,18,25,13,12,16,10,10,6,2,11,23,20,13,6,5,12,30
北京,BEJ,2016,26,8,18,25,14,12,15,10,12,6,1,11,20,20,13,6,5,12,28
北京,BEJ,2015,24,7,16,25,14,12,14,10,13,6,2,12,18,20,12,6,5,12,29
北京,BEJ,2014,24,7,16,25,15,13,14,11,13,6,4,11,18,19,12,6,5,13,29
北京,BEJ,2013,23,8,16,25,15,13,14,11,13,6,4,11,17,19,9,7,5,13,29
北京,BEJ,2012,23,10,15,25,15,13,13,10,12,6,5,11,15,17,9,7,6,13,29
北京,BEJ,2011,20,11,15,25,15,12,13,10,11,6,5,11,15,18,14,7,6,13,28
北京,BEJ,2010,20,14,15,25,15,14,13,11,12,5,4,6,12,17,13,7,7,13,28
天津,TAJ,2019,25,26,27,28,27,27,27,26,25,24,31,27,27,18,30,21,21,16,26
天津,TAJ,2018,25,26,27,28,27,27,27,26,25,25,31,27,27,18,23,22,22,16,26
天津,TAJ,2017,25,26,27,28,27,27,27,26,24,26,31,26,27,14,22,22,23,16,24
天津,TAJ,2016,24,26,26,28,27,27,27,26,24,27,31,27,27,13,18,21,24,17,20
天津,TAJ,2015,26,26,26,29,27,27,27,26,23,27,31,27,26,13,22,21,24,17,21
天津,TAJ,2014,26,26,26,30,27,27,27,27,23,27,31,27,26,11,16,21,24,18,21
天津,TAJ,2013,26,26,26,30,27,27,27,27,21,27,31,27,26,11,19,21,25,18,21
天津,TAJ,2012,26,26,26,30,27,27,27,25,18,27,31,27,25,11,24,21,25,18,20
天津,TAJ,2011,26,26,26,30,27,27,27,25,19,27,31,26,26,10,24,20,24,18,19
天津,TAJ,2010,27,26,25,30,27,27,27,24,19,27,31,26,24,5,22,20,20,17,19
河北,HEB,2019,3,3,10,1,5,7,9,4,8,19,9,1,10,13,17,11,11,10,5
河北,HEB,2018,3,3,10,1,5,7,9,4,8,19,9,1,11,13,16,11,11,10,6
河北,HEB,2017,3,4,10,1,6,7,9,4,8,25,5,6,8,15,16,11,11,11,6
河北,HEB,2016,3,4,10,2,6,7,9,4,9,24,5,7,8,15,17,10,10,10,3
河北,HEB,2015,3,4,10,2,6,7,9,3,9,25,4,5,7,15,21,10,10,10,15
河北,HEB,2014,4,4,10,2,6,7,9,3,8,25,6,7,7,15,23,10,10,11,13
河北,HEB,2013,5,4,9,1,6,7,9,3,8,23,6,9,11,14,24,10,10,11,13
河北,HEB,2012,5,3,8,1,6,7,9,4,11,23,6,10,12,14,22,11,11,11,13
河北,HEB,2011,4,3,9,1,5,6,9,4,12,23,8,10,11,14,18,12,11,10,14
河北,HEB,2010,3,3,9,1,5,6,10,4,10,21,8,4,7,13,26,11,10,10,13
山西,SHX,2019,15,5,7,7,16,16,19,16,18,15,16,17,22,21,21,18,18,15,17
山西,SHX,2018,15,5,5,7,15,14,19,15,18,15,16,15,20,22,26,16,17,17,18
山西,SHX,2017,14,5,3,7,14,14,19,15,18,14,15,14,17,24,24,16,16,19,15
山西,SHX,2016,12,2,2,7,13,13,18,15,18,13,14,13,17,22,22,16,16,19,24
山西,SHX,2015,14,3,2,7,13,13,18,15,20,18,16,13,16,24,20,16,16,19,24
山西,SHX,2014,13,3,2,7,12,12,18,13,18,21,14,12,17,23,20,16,16,19,23
山西,SHX,2013,12,2,2,7,12,12,17,13,17,21,11,13,16,22,15,16,16,19,23
山西,SHX,2012,10,2,1,7,12,11,17,13,17,22,14,12,13,18,16,16,16,19,22
山西,SHX,2011,10,1,1,7,11,11,16,13,16,22,18,13,13,16,17,15,16,19,22
山西,SHX,2010,8,1,1,7,11,11,15,13,16,20,15,14,13,12,19,15,16,19,22
内蒙古,NMG,2019,21,19,23,20,23,24,23,20,21,8,5,11,15,14,23,23,24,22,24
内蒙古,NMG,2018,20,16,21,18,23,23,23,20,21,7,5,10,15,15,19,25,25,24,24
内蒙古,NMG,2017,20,16,21,19,22,22,23,21,22,11,4,9,18,17,18,24,24,24,18
内蒙古,NMG,2016,19,16,21,18,22,22,24,21,22,10,4,9,14,18,25,24,23,24,21
内蒙古,NMG,2015,19,18,20,18,21,22,24,21,22,8,5,9,15,23,27,24,23,24,22
内蒙古,NMG,2014,19,20,20,18,21,22,25,21,22,13,1,5,21,24,27,24,23,23,20
内蒙古,NMG,2013,20,23,23,18,20,22,25,20,23,18,2,6,24,24,20,24,22,23,20
内蒙古,NMG,2012,22,23,25,18,21,22,25,22,24,19,1,3,21,23,18,24,24,22,19
